DRUG PREF NAME	DRUG TRADE NAMES	DRUG CHEMBL ID	DRUG MOLECULE TYPE
['ALITRETINOIN']	"['Panretin', 'Toctino']"	CHEMBL705	['Small molecule']
['ETRETINATE']	"['Tegison', 'Tigason']"	CHEMBL464	['Small molecule']
['ACITRETIN']	"['Acitretin', 'Neotigason', 'Soriatane']"	CHEMBL1131	['Small molecule']
['TRIFAROTENE']	['Aklief']	CHEMBL3707313	['Small molecule']
['GEMFIBROZIL']	"['Emfib', 'Gemfibrozil', 'Lopid']"	CHEMBL457	['Small molecule']
['CLOFIBRATE']	"['Atromid', 'Atromid-s', 'Clofibrate']"	CHEMBL565	['Small molecule']
['FENOFIBRATE']	"['Antara', 'Antara (micronized)', 'Fenofibrate', 'Fenofibrate (micronized)', 'Fenogal', 'Fenoglide', 'Lipantil', 'Lipantil micro 200', 'Lipantil micro 267', 'Lipantil micro 67', 'Lipidil', 'Lipofen', 'Supralip 160', 'Tricor', 'Tricor (micronized)', 'Triglide']"	CHEMBL672	['Small molecule']
['FENOFIBRIC ACID']	"['Fenocor-67', 'Fenogal', 'Fibricor', 'Lipanthyl', 'Lipofen', 'Lofibra', 'Supralip', 'Trilipix']"	CHEMBL981	['Small molecule']
['CIPROFIBRATE']	['Modalim']	CHEMBL557555	['Small molecule']
['CHOLINE FENOFIBRATE']	['Trilipix']	CHEMBL1201745	['Small molecule']
['DEXTROTHYROXINE']	['Thyroxine']	CHEMBL559	['Small molecule']
['LIOTHYRONINE']	"['Cytomel', 'Tertroxin']"	CHEMBL1544	['Small molecule']
['LIOTHYRONINE SODIUM']	"['Cynomel', 'Cytomel', 'Liothyronine sodium', 'Tertroxin', 'Thybon', 'Triiodothyronine', 'Triiodothyronine,evans', 'Triostat']"	CHEMBL1201119	['Small molecule']
['LEVOTHYROXINE SODIUM']	"['Eltroxin', 'Euthyrox', 'Evotrox', 'Levolet', 'Levo-t', 'Levothroid', 'Levothyroid', 'Levothyroxine sodium', 'Levoxine', 'Levoxyl', 'L-thyroxine henning', 'Novothyrox', 'Soloxine', 'Synthroid', 'Thyrol L', 'Thyro-tabs', 'Thyroxine', 'Tirosint', 'Tirosint-sol', 'Unithroid']"	CHEMBL2103741	['Small molecule']
['DEXTROTHYROXINE SODIUM']	['Choloxin']	CHEMBL3545058	['Small molecule']
['CHENODIOL']	"['Chendol 125', 'Chendol 250', 'Chenix', 'Chenocedon', 'Chenodiol', 'Chenofalk', 'Combidol', 'Lithofalk', 'Xenbilox']"	CHEMBL240597	['Small molecule']
['URSODIOL']	"['Actigall', 'Cholurso', 'Destolit', 'Urdox', 'Urso', 'Urso 250', 'Ursodiol', 'Ursofalk', 'Urso forte', 'Ursogal']"	CHEMBL1551	['Small molecule']
['OBETICHOLIC ACID']	['Ocaliva']	CHEMBL566315	['Small molecule']
['SPIRONOLACTONE']	"['Abbolactone', 'Aldactone', 'Carospir', 'Diatensec', 'Gx spironol', 'Laractone', 'Spiretic', 'Spiroctan 100', 'Spiroctan 25', 'Spiroctan 50', 'Spironolactone', 'Spirospare 100', 'Spirospare 25']"	CHEMBL1393	['Small molecule']
['NIMODIPINE']	"['Nimodipine', 'Nimotop', 'Nymalize']"	CHEMBL1428	['Small molecule']
['FELODIPINE']	"['Cabren', 'Cardioplen xl', 'Felodipine', 'Felogen xl', 'Felotens xl', 'Folpik xl', 'Keloc sr', 'Neofel xl', 'Parmid xl', 'Pinefeld xl', 'Plendil', 'Preslow', 'Vascalpha']"	CHEMBL1480	['Small molecule']
['DROSPIRENONE']	"['Angeliq', 'Slynd']"	CHEMBL1509	['Small molecule']
['EPLERENONE']	"['Eplerenone', 'Inspra']"	CHEMBL1095097	['Small molecule']
['DESOXYCORTICOSTERONE ACETATE']	"['Doca', 'Percorten']"	CHEMBL1200542	['Small molecule']
['DESOXYCORTICOSTERONE PIVALATE']	['Percorten']	CHEMBL1200592	['Small molecule']
['FLUDROCORTISONE ACETATE']	"['Astonin', 'Florinef', 'Fludrocortisone acetate', 'Fludrocortone', 'Panotile']"	CHEMBL1201010	['Small molecule']
['CANRENOATE POTASSIUM']	"['Soldactone', 'Spiroctan-m']"	CHEMBL1371200	['Small molecule']
['CANRENONE']	[]	CHEMBL1463345	['Small molecule']
['TROGLITAZONE']	"['Prelay', 'Rezulin', 'Romozin']"	CHEMBL408	['Small molecule']
['MESALAMINE']	"['Apriso', 'Asacol', 'Asacol hd', 'Canasa', 'Coltec ec', 'Delzicol', 'Ipocol', 'Lialda', 'Mesalamine', 'Mesren mr', 'Mezavant xl', 'Octasa', 'Pentasa', 'Pentasa sr', 'Rowasa', 'Salofalk', 'Sfrowasa']"	CHEMBL704	['Small molecule']
['ROSIGLITAZONE MALEATE']	"['Avandia', 'Rosiglitazone maleate']"	CHEMBL843	['Small molecule']
['PIOGLITAZONE HYDROCHLORIDE']	"['Actos', 'Diabiom', 'Glidipion', 'Glizofar', 'Pioglitazone hydrochloride']"	CHEMBL1715	['Small molecule']
['BALSALAZIDE DISODIUM']	"['Balsalazide disodium', 'Colazal', 'Colazide', 'Giazo']"	CHEMBL1200760	['Small molecule']
['OLSALAZINE SODIUM']	['Dipentum']	CHEMBL1201013	['Small molecule']
['DIETHYLSTILBESTROL']	"['Apstil', 'Diethylstilbestrol', 'Distilbene', 'Stilbestrol', 'Stilbetin', 'Stilboesterol', 'Tampovagan']"	CHEMBL411	['Small molecule']
['ESTRADIOL']	"['Adgyn estro', 'Alora', 'Aquagen', 'Bedol', 'Climara', 'Climara Pro', 'Dermestril 100', 'Dermestril 25', 'Dermestril 50', 'Dermestril septem 25', 'Dermestril septem 50', 'Dermestril septem 75', 'Divigel', 'E-Cypionate', 'Elestrim', 'Elestrin', 'Elleste solo', 'Elleste solo mx 40', 'Elleste solo mx 80', 'Esclim', 'Estrace', 'Estraderm', 'Estraderm mx 100', 'Estraderm mx 25', 'Estraderm mx 50', 'Estraderm mx 75', 'Estraderm tts 100', 'Estraderm tts 25', 'Estraderm tts 50', 'Estradiol', 'Estrasorb', 'Estring', 'Estrogel', 'Evamist', 'Evorel 100', 'Evorel 25', 'Evorel 50', 'Evorel 75', 'Fematrix 40', 'Fematrix 80', 'Fempatch', 'Femseven 100', 'Femseven 50', 'Femseven 75', 'Gvnodiol', 'Gynodiol', 'Gynogen', 'Imvexxy', 'Innofem', 'Menorest 37.5', 'Menorest 50', 'Menorest 75', 'Menoring 50', 'Menostar', 'Minivelle', 'Oestradiol', 'Progynova ts', 'Sandrena', 'Vagifem', 'Vagifem 18', 'Vagifem 8', 'Vivelle', 'Vivelle-dot', 'Zumenon']"	CHEMBL135	['Small molecule']
['ETHINYL ESTRADIOL']	"['Estinyl', 'Etinestryl', 'Feminone', 'Follicoral', 'Lynoral']"	CHEMBL691	['Small molecule']
['TAMOXIFEN CITRATE']	"['Emblon', 'Fentamox 10', 'Fentamox 20', 'Kentadex', 'Kessar', 'Kessar 10', 'Kessar 20', 'Noltam', 'Nolvadex', 'Nolvadex d', 'Nolvadex fte', 'Oestrifen-10', 'Oestrifen-20', 'Oestrifen-40', 'Soltamox', 'Tamofen', 'Tamoxifen citrate', 'Zynoplex']"	CHEMBL786	['Small molecule']
['DIENESTROL']	"['Dienestrol', 'Estraguard', 'Hormofemin']"	CHEMBL1018	['Small molecule']
['ESTRONE']	"['Estrogenic substance', 'Estrone', 'Natural estrogenic substance-estrone', 'Oestrone', 'Theelin']"	CHEMBL1405	['Small molecule']
['ESTRADIOL VALERATE']	"['Climaval', 'Delestrogen', 'Estradiol valerate', 'Femtab', 'Progynon depot', 'Progynon-depot-10', 'Progynova']"	CHEMBL1511	['Small molecule']
['ESTRADIOL ACETATE']	"['Femring', 'Femtrace']"	CHEMBL1200430	['Small molecule']
['ESTRADIOL CYPIONATE']	"['Depo', 'Depo-estradiol', 'Estradiol cypionate']"	CHEMBL1200973	['Small molecule']
['ESTROPIPATE']	"['Estropipate', 'Harmogen', 'Ogen', 'Ogen 1.25', 'Ogen 2.5', 'Ogen 5', 'Ogen .625', 'Ortho-est']"	CHEMBL1200980	['Small molecule']
['MESTRANOL']	[]	CHEMBL1201151	['Small molecule']
['POLYESTRADIOL PHOSPHATE']	"['Estradurin', 'Polyest phos']"	CHEMBL1201477	['Small molecule']
['CLOMIPHENE CITRATE']	"['Clomid', 'Clomiphene citrate', 'Clophene', 'Milophene', 'Serophene']"	CHEMBL3185958	['Small molecule']
['FLUOCINOLONE ACETONIDE']	"['Capex', 'Derma-smoothe/fs', 'Dermotic', 'Fluocet', 'Fluocinolone acetonide', 'Fluonid', 'Fluotrex', 'Fs shampoo', 'Iluvien', 'Retisert', 'Synalar', 'Synalar-c', 'Synalar fte', 'Synalar-hp', 'Synalar-n', 'Synandone', 'Yutiq']"	CHEMBL989	['Small molecule']
['HYDROCORTISONE ACETATE']	"['Barquinol hc', 'Chloromycetin hydrocort', 'Colifoam', 'Cortef acetate', 'Cortifoam', 'Cortril', 'Cortucid', 'Dricort', 'Epifoam', 'Framycort', 'Fucidin h', 'Genticin hc', 'Gentisone hc', 'Gppe ear susp', 'Gppe eye crm', 'Gppe foam aero', 'Hc45 hydrocort', 'Hemsol-hc', 'Hepacort plus', 'Hydrocal', 'Hydrocortisone acetate', 'Hydrocortone', 'Lanacort', 'Micort-hc', 'Neo-cortef', 'Orabase hca']"	CHEMBL1091	['Small molecule']
['MOMETASONE FUROATE']	"['Asmanex', 'Asmanex hfa', 'Asmanex twisthaler', 'Elocon', 'Mometasone furoate', 'Nasonex', 'Sinuva']"	CHEMBL1161	['Small molecule']
['BUDESONIDE']	"['Aircort', 'Budeflam aquanase', 'Budelin novolizer', 'Budenofalk', 'Budesonide', 'Cortiment', 'Duoresp spiromax', 'Entocort', 'Entocort cr', 'Entocort ec', 'Ortikos', 'Preferid', 'Pulmaxan', 'Pulmicort', 'Pulmicort flexhaler', 'Pulmicort l.s.', 'Pulmicort respules', 'Rhinocort', 'Rhinocort allergy', 'Rhinocort aqua', 'Rhinocort aqua 64', 'Symbicort', 'Uceris']"	CHEMBL1370	['Small molecule']
['DEXAMETHASONE']	"['Aeroseb-dex', 'Dalalone', 'Decaderm', 'Decadron', 'Decadron-75', 'Decaspray', 'Dexacortisyl', 'Dexafree', 'Dexamethasone', 'Dexamethasone intensol', 'Dexone', 'Dexone 0.5', 'Dexone 0.75', 'Dexone 1.5', 'Dexone 4', 'Dexsol', 'Dextenza', 'Dexycu kit', 'Dropodex', 'Gppe ear spy', 'Hemady', 'Hexadrol', 'Kortico Injection', 'Martapan', 'Maxidex', 'Maxitrol', 'Oradexon', 'Otomize', 'Ozurdex', 'Sofradex', 'Spersadex comp', 'Tobradex']"	CHEMBL384467	['Small molecule']
