	EntityA	EntityB	Effect	Mechanism
7433	AHR	UGT1A1	up-regulates quantity by expression	transcriptional regulation
7432	AHR	CYP1B1	up-regulates quantity by expression	transcriptional regulation
7430	AHR	CYP1A1	up-regulates quantity by expression	transcriptional regulation
20496	ALX4	NCAM1	down-regulates quantity by repression	transcriptional regulation
8354	AR	BTG2	down-regulates quantity by repression	transcriptional regulation
8355	AR	CDKN1A	down-regulates quantity by repression	transcriptional regulation
8356	AR	CLK3	down-regulates quantity by repression	transcriptional regulation
8358	AR	CYP7B1	down-regulates quantity by repression	transcriptional regulation
8360	AR	KLK3	up-regulates quantity by expression	transcriptional regulation
8361	AR	NAT1	up-regulates quantity by expression	transcriptional regulation
8362	AR	NKX3-1	up-regulates quantity by expression	transcriptional regulation
8365	AR	NRAS	down-regulates quantity by repression	transcriptional regulation
8367	AR	SCN9A	up-regulates quantity by expression	transcriptional regulation
8368	AR	SEPTIN7	down-regulates quantity by repression	transcriptional regulation
8369	AR	TMPRSS2	up-regulates quantity by expression	transcriptional regulation
8372	AR	UBE2C	up-regulates quantity by expression	transcriptional regulation
8374	AR	UCN	down-regulates quantity by repression	transcriptional regulation
8375	AR	WEE1	down-regulates quantity by repression	transcriptional regulation
8353	AR	BTG1	down-regulates quantity by repression	transcriptional regulation
8357	AR	CTNNB1	down-regulates quantity by repression	transcriptional regulation
3282	AR	SERPINB5	down-regulates quantity by repression	transcriptional regulation
3280	AR	ARG1	up-regulates quantity by expression	transcriptional regulation
3279	AR	AKR1C3	down-regulates quantity by repression	transcriptional regulation
3281	AR	ARG2	up-regulates quantity by expression	transcriptional regulation
8320	ARID5B	GATA3	up-regulates quantity by expression	transcriptional activation
8322	ARID5B	MYB	up-regulates quantity by expression	transcriptional activation
8323	ARID5B	MYC	up-regulates quantity by expression	transcriptional activation
8324	ARID5B	RUNX1	up-regulates quantity by expression	transcriptional activation
8325	ARID5B	TAL1	up-regulates quantity by expression	transcriptional activation
8336	ARNT	CCNE1	down-regulates quantity by repression	transcriptional regulation
3278	ARNT	CA9	up-regulates quantity by expression	transcriptional regulation
8344	ARNT	TH	down-regulates quantity by repression	transcriptional regulation
8343	ARNT	JUN	down-regulates quantity by repression	transcriptional regulation
8340	ARNT	CYP1B1	up-regulates quantity by expression	transcriptional regulation
8339	ARNT	CYP1A1	up-regulates quantity by expression	transcriptional regulation
8337	ARNT	CDK2	down-regulates quantity by repression	transcriptional regulation
8341	ARNT	FOS	down-regulates quantity by repression	transcriptional regulation
3277	ARNTL	PER3	up-regulates quantity by expression	transcriptional regulation
8329	ARNTL	CRY1	up-regulates quantity by expression	transcriptional regulation
8334	ARNTL	VWF	down-regulates quantity by repression	transcriptional regulation
8333	ARNTL	PER2	up-regulates quantity by expression	transcriptional regulation
8332	ARNTL	PER1	up-regulates quantity by expression	transcriptional regulation
8330	ARNTL	CRY2	up-regulates quantity by expression	transcriptional regulation
3286	ARX	EBF3	down-regulates quantity by repression	transcriptional regulation
8387	ASCL1	DKK1	down-regulates quantity by repression	transcriptional regulation
