TF CHEMBL ID		TF ENSEMBL IDS	TargetGene symbols	Drugs pref names	DRUGS CHEMBL IDS
CHEMBL2363071		"['ENSG00000204231', 'ENSG00000172819', 'ENSG00000143171', 'ENSG00000077092', 'ENSG00000131759', 'ENSG00000186350']"	"['RXRB', 'RARG', 'RXRG', 'RARB', 'RARA', 'RXRA']"	"['ALITRETINOIN', 'ETRETINATE', 'ACITRETIN']"	"['CHEMBL705', 'CHEMBL464', 'CHEMBL1131']"
CHEMBL3885533		"['ENSG00000148737', 'ENSG00000039068']"	"['TCF7L2', 'CDH1']"	[]	[]
CHEMBL4296101		"['ENSG00000168610', 'ENSG00000169410']"	"['STAT3', 'PTPN9']"	[]	[]
CHEMBL2363072		"['ENSG00000143171', 'ENSG00000131759']"	"['RXRG', 'RARA']"	[]	[]
CHEMBL4146		['ENSG00000112282']	['MED23']	[]	[]
CHEMBL3301383		"['ENSG00000141510', 'ENSG00000005339']"	"['TP53', 'CREBBP']"	[]	[]
CHEMBL4296118		"['ENSG00000169083', 'ENSG00000110330']"	"['AR', 'BIRC2']"	[]	[]
CHEMBL4296108		"['ENSG00000100393', 'ENSG00000100644', 'ENSG00000005339']"	"['EP300', 'HIF1A', 'CREBBP']"	[]	[]
CHEMBL2401606		['ENSG00000139083']	['ETV6']	[]	[]
CHEMBL4189		['ENSG00000184486']	['POU3F2']	[]	[]
CHEMBL4523693		"['ENSG00000115415', 'ENSG00000113851']"	"['STAT1', 'CRBN']"	[]	[]
CHEMBL4296117		"['ENSG00000100644', 'ENSG00000134086', 'ENSG00000103363', 'ENSG00000154582']"	"['HIF1A', 'VHL', 'ELOB', 'ELOC']"	[]	[]
CHEMBL4523691		"['ENSG00000168610', 'ENSG00000113851']"	"['STAT3', 'CRBN']"	[]	[]
CHEMBL4523666		"['ENSG00000167601', 'ENSG00000139083']"	"['AXL', 'ETV6']"	[]	[]
CHEMBL4832		['ENSG00000165417']	['GTF2A1']	[]	[]
CHEMBL3885631		"['ENSG00000077092', 'ENSG00000186350']"	"['RARB', 'RXRA']"	[]	[]
CHEMBL4523627		"['ENSG00000198517', 'ENSG00000156273']"	"['MAFK', 'BACH1']"	[]	[]
CHEMBL3885567		"['ENSG00000183161', 'ENSG00000114315']"	"['FANCF', 'HES1']"	[]	[]
CHEMBL2909		['ENSG00000095951']	['HIVEP1']	[]	[]
CHEMBL3706565		"['ENSG00000025434', 'ENSG00000131408']"	"['NR1H3', 'NR1H2']"	[]	[]
CHEMBL4523749		"['ENSG00000173153', 'ENSG00000113851']"	"['ESRRA', 'CRBN']"	[]	[]
CHEMBL2096976		"['ENSG00000132170', 'ENSG00000196498']"	"['PPARG', 'NCOR2']"	[]	[]
CHEMBL3885633		"['ENSG00000172819', 'ENSG00000186350']"	"['RARG', 'RXRA']"	[]	[]
CHEMBL2003		['ENSG00000172819']	['RARG']	['TRIFAROTENE']	['CHEMBL3707313']
CHEMBL3217402		['ENSG00000135363']	['LMO2']	[]	[]
CHEMBL6103		['ENSG00000185591']	['SP1']	[]	[]
CHEMBL4523694		"['ENSG00000166888', 'ENSG00000113851']"	"['STAT6', 'CRBN']"	[]	[]
CHEMBL5243		['ENSG00000198914']	['POU3F3']	[]	[]
CHEMBL4523695		"['ENSG00000126561', 'ENSG00000113851']"	"['STAT5A', 'CRBN']"	[]	[]
CHEMBL3885511		"['ENSG00000134982', 'ENSG00000148737']"	"['APC', 'TCF7L2']"	[]	[]
CHEMBL2331044		"['ENSG00000196132', 'ENSG00000276876']"	['MYT1']	[]	[]
CHEMBL4523713		"['ENSG00000091831', 'ENSG00000113851', 'ENSG00000139842']"	"['ESR1', 'CRBN', 'CUL4A']"	[]	[]
CHEMBL239		['ENSG00000186951']	['PPARA']	"['GEMFIBROZIL', 'CLOFIBRATE', 'FENOFIBRATE', 'FENOFIBRIC ACID', 'CIPROFIBRATE', 'CHOLINE FENOFIBRATE']"	"['CHEMBL457', 'CHEMBL565', 'CHEMBL672', 'CHEMBL981', 'CHEMBL557555', 'CHEMBL1201745']"
CHEMBL2111371		"['ENSG00000132170', 'ENSG00000112033']"	"['PPARG', 'PPARD']"	[]	[]
CHEMBL5716		['ENSG00000177463']	['NR2C2']	[]	[]
CHEMBL4523625		"['ENSG00000126561', 'ENSG00000173757']"	"['STAT5A', 'STAT5B']"	[]	[]
CHEMBL3509582		['ENSG00000028277']	['POU2F2']	[]	[]
CHEMBL2095162		"['ENSG00000132170', 'ENSG00000084676']"	"['PPARG', 'NCOA1']"	[]	[]
CHEMBL2111394		"['ENSG00000132170', 'ENSG00000186350']"	"['PPARG', 'RXRA']"	[]	[]
CHEMBL2111462		"['ENSG00000126351', 'ENSG00000151090']"	"['THRA', 'THRB']"	"['DEXTROTHYROXINE', 'LIOTHYRONINE', 'LIOTHYRONINE SODIUM', 'LEVOTHYROXINE SODIUM', 'DEXTROTHYROXINE SODIUM']"	"['CHEMBL559', 'CHEMBL1544', 'CHEMBL1201119', 'CHEMBL2103741', 'CHEMBL3545058']"
CHEMBL2047		['ENSG00000012504']	['NR1H4']	"['CHENODIOL', 'URSODIOL', 'OBETICHOLIC ACID']"	"['CHEMBL240597', 'CHEMBL1551', 'CHEMBL566315']"
CHEMBL1961783		['ENSG00000126368']	['NR1D1']	[]	[]
CHEMBL3885543		"['ENSG00000141510', 'ENSG00000196730']"	"['TP53', 'DAPK1']"	[]	[]
CHEMBL3885544		"['ENSG00000141510', 'ENSG00000171497']"	"['TP53', 'PPID']"	[]	[]
CHEMBL2346484		['ENSG00000198517']	['MAFK']	[]	[]
CHEMBL3163		['ENSG00000186416']	['NKRF']	[]	[]
CHEMBL1860		['ENSG00000126351']	['THRA']	[]	[]
CHEMBL2095161		"['ENSG00000132170', 'ENSG00000124151']"	"['PPARG', 'NCOA3']"	[]	[]
CHEMBL3137287		"['ENSG00000108799', 'ENSG00000074266', 'ENSG00000178691', 'ENSG00000139154', 'ENSG00000162521']"	"['EZH1', 'EED', 'SUZ12', 'AEBP2', 'RBBP4']"	[]	[]
